DATE,AWAY_TEAM,HOME_TEAM,AWAY_WT,HOME_WT
2023-10-24,LAL,DEN,0.052083333,0.935416667
2023-10-24,PHO,GSW,0.562847222,0.280902778
2023-10-25,HOU,ORL,0.030208333,0.935763889
2023-10-25,BOS,NYK,0.803819444,0.1
2023-10-25,WAS,IND,0.317361111,0.646180556
2023-10-25,ATL,CHO,0.501388889,0.405902778
2023-10-25,DET,MIA,0.126736111,0.860069444
2023-10-25,MIN,TOR,0.309722222,0.644791667
2023-10-25,CLE,BRK,0.749652778,0.178819444
2023-10-25,NOP,MEM,0.704861111,0.263194444
2023-10-25,OKC,CHI,0.755902778,0.172569444
2023-10-25,SAC,UTA,0.965972222,0.004513889
2023-10-25,DAL,SAS,0.254166667,0.615277778
2023-10-25,POR,LAC,0.0,0.973611111
2023-10-26,PHI,MIL,0.102083333,0.835416667
2023-10-26,PHO,LAL,0.727777778,0.236458333
2023-10-27,DEN,MEM,0.906944444,0.031944444
2023-10-27,DET,CHO,0.917708333,0.012847222
2023-10-27,NYK,ATL,0.938541667,0.00625
2023-10-27,OKC,CLE,0.680555556,0.188888889
2023-10-27,MIA,BOS,0.501736111,0.443055556
2023-10-27,TOR,CHI,0.579874214,0.341823899
2023-10-27,HOU,SAS,0.633018868,0.221383648
2023-10-27,BRK,DAL,0.6125,0.284027778
2023-10-27,LAC,UTA,0.054513889,0.908680556
2023-10-27,ORL,POR,0.870486111,0.073263889
2023-10-27,GSW,SAC,0.646875,0.264583333
2023-10-28,CHI,DET,0.068055556,0.877083333
2023-10-28,MEM,WAS,0.103819444,0.841319444
2023-10-28,NYK,NOP,0.003472222,0.956944444
2023-10-28,IND,CLE,0.704513889,0.285763889
2023-10-28,PHI,TOR,0.543402778,0.403819444
2023-10-28,MIA,MIN,0.387152778,0.528125
2023-10-28,UTA,PHO,0.026388889,0.953472222
2023-10-29,DEN,OKC,0.979861111,0.005208333
2023-10-29,GSW,HOU,0.681597222,0.217708333
2023-10-29,ATL,MIL,0.979861111,0.0
2023-10-29,POR,PHI,0.136111111,0.828819444
2023-10-29,SAS,LAC,0.052083333,0.934375
2023-10-29,LAL,SAC,0.091823899,0.876415094
2023-10-30,CHI,IND,0.34375,0.489930556
2023-10-30,BOS,WAS,0.982986111,0.0
2023-10-30,BRK,CHO,0.992013889,0.0
2023-10-30,POR,TOR,0.494791667,0.410763889
2023-10-30,MIN,ATL,0.673958333,0.296180556
2023-10-30,DAL,MEM,0.803819444,0.173611111
2023-10-30,MIA,MIL,0.120486111,0.812847222
2023-10-30,GSW,NOP,0.790972222,0.139583333
2023-10-30,DET,OKC,0.012847222,0.979166667
2023-10-30,UTA,DEN,0.005555556,0.98125
2023-10-30,ORL,LAL,0.589930556,0.317361111
2023-10-31,NYK,CLE,0.9295138888888889,0.020833333333333332
2023-10-31,SAS,PHO,0.0006944444444444445,0.9895833333333334
2023-10-31,ORL,LAC,0.47708333333333336,0.46944444444444444
